Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data
23_02_21 12:16:35.721;0;O;1;1210;21B5;0;ERR;
23_02_21 12:20:37.510;20807;O;1;1210;21B5;0;ERR;
23_02_21 12:27:52.782;28292;O;1;1210;21B5;0;ERR;
23_02_21 12:30:57.650;41614;O;1;1210;21B5;0;ERR;
23_02_21 12:41:07.262;47912;O;1;1210;21B5;0;ERR;
23_02_21 12:43:19.563;66711;O;1;1210;21B5;0;ERR;
23_02_21 12:48:48.740;80681;O;1;1210;21B5;0;ERR;
23_02_21 13:05:26.127;81204;O;1;1210;21B5;0;ERR;
23_02_21 13:10:49.857;112528;O;1;1210;21B5;0;ERR;
23_02_21 13:12:55.030;122601;O;1;1210;21B5;0;ERR;
